codigo,codigo_padre,descripcion,fecha_desde,impuestos_cliente,impuestos_proveedor
28232,2823,"CAMISAS, CAMISETAS, CALZONCILLOS, PIJAMAS, BATAS Y ARTICULOS ANALOGOS PARA HOMBRES O NINOS DE TEJIDOS QUE NO SEAN DE PUNTO O GANCHILLO",2008-01-25,,
28232,28232,"CAMISAS DE ALGODON, DE TEJIDOS QUE NO SEAN DE PUNTO O GANCHILLO, PARA HOMBRES Y NINOS: CAMISAS DE VESTIR Y DEPORTIVAS",2008-01-25,,
28232.00.1,28232,CAMISAS,,,
28232.01,28232,"CAMISAS  DE  OTROS  MATERIALES  TEXTILES,  DE  TEJIDOS  QUE  NO SEAN DE  PUNTO  O  GANCHILLO,  PARA  HOMBRES  Y  NINOS: CAMISAS DE VESTIR  Y  DEPORTIVAS",2008-01-25,,
28232.01.1,28232.01,CAMISETAS DE FUTBOL,,,
28232.01.2,28232.01,CAMISETA PARA MICROFUTBOL,,,
28232.01.3,28232.01,CAMISETA PARA BALONMANO,,,
28232.1,28232,"CALZONCILLOS DE TEJIDOS QUE NO SEAN DE PUNTO O GANCHILLO, PARA HOMBRES Y NINOS: DE ALGODON Y OTRAS MATERIAS TEXTILES",2008-01-25,,
28232.10.1,28232.1,ROPA INTERIOR MASCULINA,,,
28232.11,28232,"CAMISAS DE DORMIR Y PIJAMAS DE TEJIDOS QUE NO SEAN DE PUNTO O GANCHILLO, PARA HOMBRES Y NINOS: DE ALGODON, FIBRAS SINTETICAS O ARTIFICIALES Y OTRAS MATERIAS TEXTILES",2008-01-25,,
28232.11.1,28232.11,PIJAMAS DE SOLDADOS,,,
28232.12,28232,"CAMISETAS DE TEJIDOS QUE NO SEAN DE PUNTO O GANCHILLO, PARA HOMBRES Y NINOS",2008-01-25,,
28232.12.1,28232.12,CAMISETA - PANTALONETA PARA CICLISMO,,,
28232.12.2,28232.12,CAMISETA PARA PATINAJE,,,
28232.12.3,28232.12,ENTERRIZO PARA PATINAJE,,,
28232.13,28232,"BATAS Y SALIDAS DE BANO DE TEJIDOS QUE NO SEAN DE PUNTO O GANCHILLO, PARA HOMBRES Y NINOS: DE ALGODON, FIBRAS SINTETICAS O ARTIFICIALES Y OTRAS MATERIAS TEXTILES",2008-01-25,,
28232.13.1,28232.13,JINETA,,,
28233,2823,"TRAJES SASTRE, ABRIGOS, CHAQUETAS, VESTIDOS, FALDAS, PANTALONES LARGOS, PANTALONES CORTOS Y ARTICULOS ANALOGOS PARA MUJERES O NINAS, DE TEJIDOS QUE NO SEAN DE PUNTO O GANCHILLO",2008-01-25,,
28233,28233,"ABRIGOS, IMPERMEABLES, GABANES, CAPAS, MANTAS Y ARTICULOS ANALOGOS, EXCEPTO DE TEJIDOS DE PUNTO O GANCHILLO, PARA MUJERES Y NINAS: DE LANA O PELO FINO, ALGODON, FIBRAS SINTETICAS O ARTIFICIALES Y OTRAS MATERIAS TEXTILES",2008-01-25,,
28233.00.1,28233,TELA CON REPELENCIA AL AGUA,,,
28233.09,28233,"OTRAS PRENDAS DE VESTIR EXTERIORES N.C.P., EXCEPTO DE TEJIDOS DE PUNTO O GANCHILLO, DE CUALQUIER MATERIAL TEXTIL, PARA MUJERES Y NINAS: ANORAKS, CAZADORAS, CHAQUETAS ROMPEVIENTOS, ETC.",2008-01-25,,
28233.09.1,28233.09,UNIFORMES PARA BOMBEROS,,,
28233.1,28233,"TRAJES SASTRE QUE NO SEAN DE TEJIDOS DE PUNTO O GANCHILLO, PARA MUJERES Y NINAS: DE LANA O PELO FINO, ALGODON, FIBRAS SINTETICAS Y OTRAS MATERIAS TEXTILES",2008-01-25,,
28233.10.1,28233.1,"TRAJES SASTRE QUE NO SEAN DE TEJIDOS DE PUNTO O GANCHILLO, PARA MUJERES Y NINAS: DE LANA O PELO FINO, ALGODON, FIBRAS SINTETICAS Y OTRAS MATERIAS TEXTILES",,,
28233.11,28233,"CONJUNTOS QUE NO SEAN DE TEJIDOS DE PUNTO O GANCHILLO, PARA MUJERES O NINAS: DE LANA O PELO FINO, ALGODON, FIBRAS SINTETICAS Y OTRAS MATERIAS TEXTILES",2008-01-25,,
28233.11.1,28233.11,"CONJUNTOS QUE NO SEAN DE TEJIDOS DE PUNTO O GANCHILLO, PARA MUJERES O NINAS: DE LANA O PELO FINO, ALGODON, FIBRAS SINTETICAS Y OTRAS MATERIAS TEXTILES",,,
28233.2,28233,"CHAQUETAS (SACOS) DE TEJIDOS QUE NO SEAN DE PUNTO O GANCHILLO, PARA MUJERES Y NINAS: DE LANA O PELO FINO, ALGODON, FIBRAS SINTETICAS Y OTRAS MATERIAS TEXTILES",2008-01-25,,
28233.20.1,28233.2,CHALECO ESPECIAL,,,
28233.3,28233,"VESTIDOS DE TEJIDOS QUE NO SEAN DE PUNTO O GANCHILLO, PARA MUJERES Y NINAS: DE LANA O PELO FINO, ALGODON, FIBRAS SINTETICAS, ARTIFICIALES Y OTRAS MATERIAS TEXTILES",2008-01-25,,
28233.30.1,28233.3,FALDA PARA NIÑA,,,
28233.4,28233,"FALDAS Y FALDAS PANTALON DE TEJIDOS QUE NO SEAN DE PUNTO O GANCHILLO, PARA MUJERES Y NINAS: DE LANA O PELO FINO, ALGODON, FIBRAS SINTETICAS Y OTRAS MATERIAS TEXTILES",2008-01-25,,
28233.40.01,28233.4,FALDAS,,,
28233.5,28233,"PANTALONES LARGOS Y PANTALONES CORTOS, DELANTALES Y OVEROLES CON TIRANTES DE TEJIDOS QUE NO SEAN DE PUNTO O GANCHILLO, PARA MUJERES Y NINAS: DE LANA O PELO FINO, ALGODON, FIBRAS SINTETICAS Y OTRAS MATERIAS TEXTILES",2008-01-25,,
28233.50.1,28233.5,CHAQUETA PARA TRABAJO,,,
28233.50.2,28233.5,PANTALON DE TRABAJO,,,
28234,2823,"BLUSAS, CAMISAS, CAMISETAS, ENAGUAS, BRAGAS, CAMISONES, BATAS Y ARTICULOS ANALOGOS PARA MUJERES O NINAS, DE TEJIDOS QUE  O SEAN DE PUNTO O GANCHILLO",2008-01-25,,
28234,28234,"BLUSAS Y CAMISAS DE SEDA O DESPERDICIOS DE SEDA, DE TEJIDOS QUE NO SEAN DE PUNTO  O GANCHILLO, PARA MUJERES Y NINAS",2008-01-25,,
28234.01,28234,"BLUSAS Y CAMISAS DE ALGODON, DE TEJIDOS QUE NO SEAN DE PUNTO  O GANCHILLO, PARA MUJERES Y NINAS",2008-01-25,,
28234.01.1,28234.01,FALDA DE TENIS FEMENINO,,,
28234.01.2,28234.01,ENTERIZO PARA TENIS,,,
28234.02,28234,"BLUSAS Y CAMISAS DE OTRAS MATERIAS TEXTILES, DE TEJIDOS QUE NO SEAN DE PUNTO  O GANCHILLO, PARA MUJERES Y NINAS",2008-01-25,,
28234.02.1,28234.02,BLUSAS PARA PERSONAL,,,
28234.1,28234,"COMBINACIONES Y ENAGUAS DE FIBRAS SINTETICAS O ARTIFICIALES Y OTRAS MATERIAS TEXTILES, DE TEJIDOS QUE NO SEAN DE PUNTO O GANCHILLO, PARA MUJERES Y NINAS",2008-01-25,,
28234.10.1,28234.1,"COMBINACIONES Y ENAGUAS DE FIBRAS SINTETICAS O ARTIFICIALES Y OTRAS MATERIAS TEXTILES, DE TEJIDOS QUE NO SEAN DE PUNTO O GANCHILLO, PARA MUJERES Y NINAS",,,
28234.11,28234,"CAMISONES DE DORMIR Y PIJAMAS DE ALGODON, FIBRAS SINTETICAS O ARTIFICIALES Y OTRAS MATERIAS TEXTILES, DE TEJIDOS QUE NO SEAN DE PUNTO O GANCHILLO, PARA MUJERES Y NINAS",2008-01-25,,
28234.11.1,28234.11,PIJAMAS,,,
28234.12,28234,"BRAGAS DE TEJIDOS QUE NO SEAN DE PUNTO O GANCHILLO, PARA MUJERES Y NINAS: DE ALGODON, FIBRAS SINTETICAS O ARTIFICIALES Y OTRAS MATERIAS TEXTILES",2008-01-25,,
28234.12.1,28234.12,"BRAGAS DE TEJIDOS QUE NO SEAN DE PUNTO O GANCHILLO, PARA MUJERES Y NINAS: DE ALGODON, FIBRAS SINTETICAS O ARTIFICIALES Y OTRAS MATERIAS TEXTILES",,,
28234.13,28234,"BATAS Y SALIDAS DE BANO DE TEJIDOS QUE NO SEAN DE PUNTO O GANCHILLO, PARA MUJERES Y NINAS: DE ALGODON, FIBRAS SINTETICAS O ARTIFICIALES Y OTRAS MATERIAS TEXTILES",2008-01-25,,
28234.13.1,28234.13,"BATAS Y SALIDAS DE BANO DE TEJIDOS QUE NO SEAN DE PUNTO O GANCHILLO, PARA MUJERES Y NINAS: DE ALGODON, FIBRAS SINTETICAS O ARTIFICIALES Y OTRAS MATERIAS TEXTILES",,,
28235,2823,"PRENDAS Y ACCESORIOS DE VESTIR PARA BEBES, DE TEJIDOS QUE NO SEAN DE PUNTO O GANCHILLO",2008-01-25,,
28235,28235,"PRENDAS Y ACCESORIOS DE VESTIR PARA BEBES DE TEJIDOS QUE NO SEAN DE PUNTO O GANCHILLO, DE LANA O PELO FINO, ALGODON, FIBRAS SINTETICAS Y OTRAS MATERIAS TEXTILES: CAMISETAS DE BEBE, ABRIGOS, BOTITAS, CAMISAS, JERSEYES, PANTALONES, PANALES, VESTIDOS,ETC.",2008-01-25,,
28235.00.1,28235,COBIJAS PARA BEBES,,,
28235.00.2,28235,PANTALON PARA BEBE,,,
28235.00.3,28235,SACO PARA BEBE,,,
28235.00.4,28235,JUEGOS DE TRES CAMISAS PARA BEBE,,,
28236,2823,"BUZOS DE ATLETISMO, TRAJES DE ESQUIAR, TRAJES DE BANO Y OTRAS PRENDAS, DE TEJIDOS QUE NO SEAN DE PUNTO O GANCHILLO N.C.P.",2008-01-25,,
28236,28236,"TRAJES DE BANO DE TEJIDOS QUE NO SEAN DE PUNTO O GANCHILLO, PARA HOMBRES Y NINOS",2008-01-25,,
28236.00.1,28236,"TRAJES DE BANO DE TEJIDOS QUE NO SEAN DE PUNTO O GANCHILLO, PARA HOMBRES Y NINOS",,,
28236.01,28236,"TRAJES DE BANO DE TEJIDOS QUE NO SEAN DE PUNTO O GANCHILLO, PARA MUJERES Y NINAS",2008-01-25,,
28236.01.1,28236.01,"TRAJES DE BANO DE TEJIDOS QUE NO SEAN DE PUNTO O GANCHILLO, PARA MUJERES Y NINAS",,,
28236.1,28236,BUZOS DE ATLETISMO Y TRAJES DE ESQUIAR DE TEJIDOS QUE NO SEAN DE PUNTO O GANCHILLO,2008-01-25,,
28236.10.01,28236.1,CAMISETA DE RANA,,,
28236.10.2,28236.1,BUZOS DE ATLETISMO Y TRAJES DE ESQUIAR DE TEJIDOS QUE NO SEAN DE PUNTO O GANCHILLO,,,
28236.11,28236,"PRENDAS DE VESTIR PARA HOMBRES Y NINOS, DE TEJIDOS QUE NO SEAN DE PUNTO O GANCHILLO N.C.P.: CAMISAS SIN MANGAS, CHALECOS, HABITOS DE MONJE, QUIMONOS, SOTANAS, TOGAS ACADEMICAS, TRAJES DE ESGRIMA, DE MONTAR, DE LIMPIEZA, UNIFORMES MILITARES, DEATLETISMO",2008-01-25,,
28236.11.1,28236.11,UNIFORMES DE OPERACIONES MILITARES,,,
28236.11.10,28236.11,TELAS PARA UNIFORMES EJERCITO NACIONAL,,,
28236.11.11,28236.11,UNIFORMES EJERCITO NACIONAL,,,
28236.11.12,28236.11,UNIFORME PARA ESGRIMA,,,
28236.11.2,28236.11,UNIFORMES FUERZA AEREA,,,
28236.11.20,28236.11,MANGAS DE SEGURIDAD,,,
28236.11.21,28236.11,CAPOTES,,,
28236.11.22,28236.11,POLAINA,,,
28236.11.3,28236.11,UNIFORME ARMADA NACIONAL,,,
28236.11.5,28236.11,TELAS PARA UNIFORMES ARMADA NACIONAL,,,
28236.11.6,28236.11,TELAS PARA UNIFORMES FUERZAS MILITARES,,,
28236.11.7,28236.11,UNIFORMES POLICIA NACIONAL,,,
28236.11.8,28236.11,TELAS PARA UNIFORMES FUERZAS MILITARES Y POLICIA NACIONAL,,,
28236.11.9,28236.11,TELAS PARA UNIFORMES FUERZA AEREA Y POLICIA NACIONAL,,,
28236.12,28236,"PRENDAS DE VESTIR PARA MUJERES Y NINAS DE TEJIDOS QUE NO SEAN DE PUNTO O GANCHILLO N.C.P.: CHALECOS, CHAQUETILLAS, HABITOS DE MONJA, MANDILES, QUIMONOS, SARIS, TRAJES DE AMAZONA, DE BALLET, TUNICAS DE GIMNASIA, UNIFORMES, ETC.",2008-01-25,,
28236.12.1,28236.12,UNIFORMES DE OPERACIONES MILITARES,,,
28236.12.2,28236.12,UNIFORMES ,,,
28236.12.4,28236.12,UNIFORME DE GUARDIA,,,
28237,2823,"SOSTENES, FAJAS, CORSES, TIRANTES, LIGUEROS, LIGAS Y PRENDAS ANALOGAS Y SUS PARTES, SEAN O NO DE PUNTO O GANCHILLO",2008-01-25,,
28237,28237,SOSTENES (CORPINOS),2008-01-25,,
28237.00.1,28237,BRASSIER,,,
28237.01,28237,"FAJAS, FAJAS BRAGA Y FAJAS SOSTEN",2008-01-25,,
28237.01.1,28237.01,FAJA NEGRA PARA UNIFORME,,,
28237.02,28237,"TIRANTES, LIGUEROS, LIGAS Y PRENDAS ANALOGAS",2008-01-25,,
28237.02.1,28237.02,TIRANTES,,,
28238,2823,"PANUELOS, CHALES, PANUELOS DE CUELLO, VELOS, CORBATAS, CORBATINES, GUANTES Y OTROS ACCESORIOS DE VESTIR CONFECCIONADOS, DE TEJIDOS QUE NO SEAN DE PUNTO O GANCHILLO; PARTES DE PRENDAS O ACCESORIOS DE VESTIR, DE TEJIDOS QUE NO SEAN DE PUNTO O GANCHILLON.C.P",2008-01-25,,
28238,28238,"PANUELOS DE BOLSILLO, PANUELOS DE CUELLO, PANUELOS DE CABEZA, DE TEJIDOS QUE NO SEAN DE PUNTO O GANCHILLO: DE SEDA O DESPERDICIOS DE SEDA, ALGODON U OTRAS MATERIAS TEXTILES",2008-01-25,,
28238.00.1,28238,PAÑUELOS,,,
28238.00.2.1,28238,PAÑOLETA,,,
28238.01,28238,"CHALES, CHALINAS, BUFANDAS, MANTILLAS, VELOS, ETC. DE TEJIDOS QUE NO SEAN DE PUNTO O GANCHILLO: DE SEDA O DESPERDICIOS DE SEDA, LANA O PELO FINO, FIBRAS SINTETICAS Y ARTIFICIALES U OTRAS MATERIAS TEXTILES",2008-01-25,,
28238.01.1,28238.01,VELOS,,,
28238.02,28238,"CORBATAS COMUNES, CORBATAS DE LAZO Y CORBATINES DE TEJIDOS QUE NO SEAN DE PUNTO O GANCHILLO: DE SEDA O DESPERDICIOS DE SEDA, FIBRAS SINTETICAS Y ARTIFICIALES U OTRAS MATERIAS TEXTILES",2008-01-25,,
28238.02.1,28238.02,CORBATAS,,,
28238.03,28238,GUANTES Y MITONES DE TEJIDOS QUE NO SEAN DE PUNTO O GANCHILLO,2008-01-25,,
28238.03.1,28238.03,GUANTE DE VUELO,,,
28238.04,28238,PARTES DE PRENDAS O ACCESORIOS DE VESTIR DE TEJIDOS QUE NO SEAN DE PUNTO O GANCHILLO.,2008-01-25,,
28238.04.1,28238.04,ACCESORIOS NO METALICOS ARMADA ,,,
28238.09,28238,OTROS ACCESORIOS DE VESTIR CONFECCIONADOS DE TEJIDOS QUE NO SEAN DE PUNTO O GANCHILLO N.C.P.,2008-01-25,,
28238.09.01,28238.09,TELA PARA CONFECCION,,,
2824,282,PRENDAS Y ACCESORIOS DE VESTIR  DE CUERO NATURAL  ARTIFICIAL O REGENERADO O DE MATERIALES PLASTICOS,2008-01-25,,
28241,2824,"PRENDAS DE VESTIR DE CUERO NATURAL, ARTIFICIAL O REGENERADO",2008-01-25,,
28241,28241,"PRENDAS DE VESTIR DE CUERO NATURAL, ARTIFICIAL, O REGENERADO",2008-01-25,,
28241.00.1,28241,TIRO PARA SABLE,,,
28242,2824,"ACCESORIOS DE VESTIR DE CUERO NATURAL, ARTIFICIAL O REGENERADO, EXCEPTO GUANTES DE DEPORTES",2008-01-25,,
28242,28242,"GUANTES Y MITONES DE CUERO NATURAL, ARTIFICIAL O REGENERADO, EXCEPTO GUANTES DE DEPORTE",2008-01-25,,
28242.00.1,28242,GUANTES DE FUTBOL,,,
28242.01,28242,"CINTURONES Y CINTOS DE CUERO NATURAL, ARTIFICIAL O REGENERADO",2008-01-25,,
28242.01.1,28242.01,CINTURONES,,,
28242.09,28242,"OTROS ACCESORIOS DE VESTIR DE CUERO NATURAL, ARTIFICIAL O REGENERADO",2008-01-25,,
28242.09.1,28242.09,PORTA PROVEEDOR DOBLE,,,
28243,2824,"PRENDAS Y ACCESORIOS DE VESTIR, DE MATERIALES PLASTICOS (INCLUSO GUANTES)",2008-01-25,,
28243,28243,PRENDAS  Y  ACCESORIOS  DE  VESTIR  DE  MATERIALES  PLASTICOS  O DE CAUCHO (INCLUSO GUANTES),2008-01-25,,
28243.00.1,28243,PRENDAS IMPERMEABLES EN PVC,,,
2825,282,PRENDAS DE VESTIR CONFECCIONADAS CON FIELTRO O CON TEXTILES NO TEJIDOS; PRENDAS DE VESTIR CONFECCIONADAS CON TEJIDOS IMPREGNADOS O BANADOS CON PLASTICOS  CAUCHO U OTROS MATERIALES,2008-01-25,,
28250,2825,"PRENDAS DE VESTIR CONFECCIONADAS CON FIELTRO O CON TEXTILES NO TEJIDOS; PRENDAS DE VESTIR CONFECCIONADAS CON TEJIDOS IMPREGNADOS O BANADOS CON PLASTICOS, CAUCHO U OTROS MATERILES",2008-01-25,,
28250,28250,"PRENDAS DE VESTIR CONFECCIONADAS CON FIELTRO Y TEXTILES NO TEJIDOS, ESTEN O NO IMPREGNADOS, BANADOS, RECUBIERTOS O LAMINADOS",2008-01-25,,
28250.00.1,28250,"PRENDAS DE VESTIR CONFECCIONADAS CON FIELTRO Y TEXTILES NO TEJIDOS, ESTEN O NO IMPREGNADOS, BANADOS, RECUBIERTOS O LAMINADOS",,,
28250.00.2,28250,PRENDAS DE VESTIR DE SEGURIDAD PARA  LA POLICIA,,,
28250.00.3,28250,PRENDAS DE VESTIR DE SEGURIDAD INDUSTRIAL,2008-09-10,,
28250.00.4,28250,PRENDAS DE VESTIR ESPECIALES,2008-10-15,,
28250.01,28250,"PRENDAS DE VESTIR CONFECCIONADAS CON TEJIDOS IMPREGNADOS, BANADOS, REVESTIDOS O LAMINADOS, CON PLASTICOS, CAUCHO U OTROS MATERIALES, PARA HOMBRES Y NINOS",2008-01-25,,
28250.01.1,28250.01,"PRENDAS DE VESTIR CONFECCIONADAS CON TEJIDOS IMPREGNADOS, BANADOS, REVESTIDOS O LAMINADOS, CON PLASTICOS, CAUCHO U OTROS MATERIALES, PARA HOMBRES Y NINOS",,,
28250.02,28250,"PRENDAS DE VESTIR CONFECCIONADAS CON TEJIDOS IMPREGNADOS, BANADOS, REVESTIDOS O LAMINADOS, CON PLASTICOS, CAUCHO U OTROS MATERIALES, PARA MUJERES Y NINAS",2008-01-25,,
28250.02.1,28250.02,"PRENDAS DE VESTIR CONFECCIONADAS CON TEJIDOS IMPREGNADOS, BANADOS, REVESTIDOS O LAMINADOS, CON PLASTICOS, CAUCHO U OTROS MATERIALES, PARA MUJERES Y NINAS",,,
28250.03,28250,"PRENDAS  DE  VESTIR  CONFECCIONADAS  CON  TEJIDOS  DE  PUNTO  O GANCHILLO, IMPREGNADOS  O  BANADOS  CON  PLASTICOS,  CAUCHO  U OTROS MATERIALES",2008-01-25,,
28250.03.1,28250.03,CAMISETAS DE VOLEYBALL,,,
2826,282,SOMBREROS Y OTROS ARTICULOS DE TOCADO,2008-01-25,,
28261,2826,"CASCOS, HORMAS Y  MOLDES PARA SOMBREROS, DE FIELTRO; PLATOS Y CILINDROS DE FIELTRO; CASCOS PARA SOMBREROS TRENZADOS O HECHOS POR UNION DE BANDAS DE CUALQUIER MATERIAL",2008-01-25,,
28261,28261,HORMAS Y MOLDES PARA SOMBREROS DE FIELTRO SIN FORMA NI ACABADOS Y SIN ALAS TERMINADAS; PLATOS Y CILINDROS (INCLUSO LOS CILINDROS HENDIDOS EN EL SENTIDO DE LA ALTURA) DE FIELTRO,2008-01-25,,
28261.00.1,28261,HORMAS Y MOLDES PARA SOMBREROS DE FIELTRO SIN FORMA NI ACABADOS Y SIN ALAS TERMINADAS; PLATOS Y CILINDROS (INCLUSO LOS CILINDROS HENDIDOS EN EL SENTIDO DE LA ALTURA) DE FIELTRO,,,
28261.01,28261,"CASCOS PARA SOMBREROS TRENZADOS (PAJA TOQUILLA) O HECHOS POR UNION DE BANDAS DE CUALQUIER MATERIAL, SIN FORMA, NI ACABADO, SIN ALAS TERMINADAS Y SIN FORRAR, NI PULIR",2008-01-25,,
28261.01.1,28261.01,"CASCOS PARA SOMBREROS TRENZADOS (PAJA TOQUILLA) O HECHOS POR UNION DE BANDAS DE CUALQUIER MATERIAL, SIN FORMA, NI ACABADO, SIN ALAS TERMINADAS Y SIN FORRAR, NI PULIR",,,
28262,2826,"SOMBREROS Y OTROS ARTICULOS DE TOCADO, DE FIELTRO, O TRENZADOS O HECHOS POR UNION DE BANDAS DE CUALQUIER MATERIAL, O DE PUNTO O GANCHILLO, O CONFECCIONADOS CON ENCAJES U OTROS TEJIDOS EN PIEZAS; REDES PARA EL CABELLO",2008-01-25,,
28262,28262,"SOMBREROS Y OTROS ARTICULOS DE TOCADO DE FIELTRO, ESTEN O NO FORRADOS O GUARNECIDOS",2008-01-25,,
28262.00.1,28262,BOINAS,,,
28262.01,28262,SOMBREROS DE PAJA TOQUILLA,2008-01-25,,
28262.01.1,28262.01,SOMBREROS DE PAJA TOQUILLA,,,
28262.02,28262,SOMBREROS Y DEMAS TOCADOS TRENZADOS O FABRICADOS POR UNION DE BANDAS DE CUALQUIER MATERIAL ESTEN O NO GUARNECIDOS,2008-01-25,,
28262.02.1,28262.02,SOMBREROS,,,
28262.03,28262,"SOMBREROS DE PUNTO O GANCHILLO O CONFECCIONADOS CON ENCAJES U OTROS TEJIDOS EN PIEZAS, INCLUSO GUARNECIDOS",2008-01-25,,
28262.03.1,28262.03,"SOMBREROS DE PUNTO O GANCHILLO O CONFECCIONADOS CON ENCAJES U OTROS TEJIDOS EN PIEZAS, INCLUSO GUARNECIDOS",,,
28262.04,28262,REDECILLAS PARA EL CABELLO DE CUALQUIER MATERIAL,2008-01-25,,
28262.04.1,28262.04,REDECILLAS PARA EL CABELLO DE CUALQUIER MATERIAL,,,
28269,2826,"OTROS ARTICULOS DE TOCADO, EXCEPTO ARTICULOS DE TOCADO DE CAUCHO O MATERIALES PLASTICOS, CASCOS DE SEGURIDAD Y ARTICULOS DE TOCADO DE ASBESTO; BANDAS, FORROS, FUNDAS, ARMAZONES, VISERAS Y BARQUEJOS, PARA SOMBRERERIA",2008-01-25,,
28269,28269,"BANDAS, FORROS, FUNDAS, ARMAZONES, VISERAS Y BARBOQUEJOS PARA SOMBRERERIA",2008-01-25,,
28269.00.1,28269,"BANDAS, FORROS, FUNDAS, ARMAZONES, VISERAS Y BARBOQUEJOS PARA SOMBRERERIA",,,
28269.01,28269,ARTICULOS Y ACCESORIOS PARA APLICACIONES MEDICAS EN LA CABEZA Y CUELLO,2008-01-25,,
28269.01.1,28269.01,ARTICULOS Y ACCESORIOS PARA APLICACIONES MEDICAS,2008-09-05,,
28269.09,28269,"OTROS  ARTICULOS  DE  TOCADO  N.C.P.,  EXCEPTO  LOS  DE  CAUCHO O MATERIALES  PLASTICOS,  CASCOS  DE  SEGURIDAD  Y  ARTICULOS  DE TOCADO  DE  ASBESTO",2008-01-25,,
28269.09.1,28269.09,"OTROS  ARTICULOS  DE  TOCADO  N.C.P.,  EXCEPTO  LOS  DE  CAUCHO O MATERIALES  PLASTICOS,  CASCOS  DE  SEGURIDAD  Y  ARTICULOS  DE TOCADO  DE  ASBESTO",,,
283,28,"PIELES FINAS, CURTIDAS O ADOBADAS Y PIELES ARTIFICIALES; ARTICULOS CONFECCIONADOS CON ESTAS PIELES (EXCEPTO ARTICULOS DE TOCADO)",2008-01-23,,
2831,283,PIELES FINAS CURTIDAS O ADOBADAS,2008-01-25,,
28310,2831,PIELES FINAS CURTIDAS O ADOBADAS,2008-01-25,,
28310,28310,"PIELES ENTERAS DE VISON CON CABEZA, COLAS O PATAS O SIN ELLAS, SIN ENSAMBLAR",2008-01-25,,
28310.00.1,28310,"PIELES ENTERAS DE VISON CON CABEZA, COLAS O PATAS O SIN ELLAS, SIN ENSAMBLAR",,,
28310.01,28310,"PIELES ENTERAS DE CONEJO O LIEBRE CON CABEZA, COLAS O PATAS O SIN ELLAS, SIN ENSAMBLAR",2008-01-25,,
28310.01.1,28310.01,PIEL DE CONEJO,,,
28310.02,28310,"PIELES ENTERAS DE CORDERO: ASTRACAN, BREITSCHWANZ, CARACUL, PERSA Y ANALOGOS Y DE CORDERO INDIO, CHINO, MOGOL O TIBETANO, CON CABEZA, COLAS O PATAS O SIN ELLAS, SIN ENSAMBLAR",2008-01-25,,
28310.02.1,28310.02,"PIELES ENTERAS DE CORDERO: ASTRACAN, BREITSCHWANZ, CARACUL, PERSA Y ANALOGOS Y DE CORDERO INDIO, CHINO, MOGOL O TIBETANO, CON CABEZA, COLAS O PATAS O SIN ELLAS, SIN ENSAMBLAR",,,
28310.09,28310,"OTRAS PIELES FINAS ENTERAS CON CABEZA, COLAS O PATAS O SIN ELLAS, SIN ENSAMBLAR",2008-01-25,,
28310.09.1,28310.09,"OTRAS PIELES FINAS ENTERAS CON CABEZA, COLAS O PATAS O SIN ELLAS, SIN ENSAMBLAR",,,
28310.1,28310,"CABEZAS, COLAS, PATAS Y OTROS TROZOS O RECORTES, SIN ENSAMBLAR",2008-01-25,,
28310.10.1,28310.1,"CABEZAS, COLAS, PATAS Y OTROS TROZOS O RECORTES, SIN ENSAMBLAR",,,
28310.2,28310,"PIELES ENTERAS Y SUS PIEZAS O RECORTES, ENSAMBLADAS",2008-01-25,,
28310.20.1,28310.2,"PIELES ENTERAS Y SUS PIEZAS O RECORTES, ENSAMBLADAS",,,
2832,283,PRENDAS Y ACCESORIOS DE VESTIR Y OTROS ARTICULOS DE PELETERIA (EXCEPTO ARTICULOS DE TOCADO),2008-01-25,,
28320,2832,PRENDAS Y ACCESORIOS DE VESTIR Y OTROS ARTICULOS DE PELETERIA (EXCEPTO ARTICULOS DE TOCADO),2008-01-25,,
28320,28320,PRENDAS Y ACCESORIOS DE VESTIR DE PELETERIA.,2008-01-25,,
28320.00.1,28320,PRENDAS Y ACCESORIOS DE VESTIR DE PELETERIA.,,,
28320.09,28320,"OTROS ARTICULOS DE PELETERIA: ALFOMBRAS, PUFES SIRVELLENO, PANOS PARA PULIMENTO INDUSTRIAL, CONJUNTOS DE PELETERIA (TIRAS, PLANCHAS, ETC.).",2008-01-25,,
28320.09.1,28320.09,"OTROS ARTICULOS DE PELETERIA: ALFOMBRAS, PUFES SIRVELLENO, PANOS PARA PULIMENTO INDUSTRIAL, CONJUNTOS DE PELETERIA (TIRAS, PLANCHAS, ETC.).",,,
2833,283,PIELES ARTIFICIALES Y ARTICULOS CONFECCIONADOS DE PIELES ARTIFICIALES (EXCEPTO ARTICULOS DE TOCADO),2008-01-25,,
28330,2833,PIELES ARTIFICIALES Y ARTICULOS CONFECCIONADOS DE PIELES ARTIFICIALES (EXCEPTO ARTICULOS DE TOCADO),2008-01-25,,
28330,28330,PIELES ARTIFICIALES Y ARTICULOS CONFECCIONADOS DE PIELES ARTIFICIALES (EXCEPTO ARTICULOS DE TOCADO),2008-01-25,,
28330.00.1,28330,PIELES ARTIFICIALES Y ARTICULOS CONFECCIONADOS DE PIELES ARTIFICIALES (EXCEPTO ARTICULOS DE TOCADO),,,
29,2,CUERO Y PRODUCTOS DE CUERO; CALZADO,2008-01-23,,
